Songtitel;Interpret;Spotify URL;slug
C`è tempo (with Ivano Fossati);Ivano Fossati;https://youtu.be/e1xOUFi9VRo?si=g5iveMjSXMYngMvF;c-e-tempo-with-ivano-fossati-ivano-fossati
Chiaro di Luna;Lorenzo Jovannotti;https://open.spotify.com/track/6t4XT3FQGdB7EjqvfAahNx;chiaro-di-luna-lorenzo-jovannotti
A te;Lorenzo Jovannotti;https://open.spotify.com/track/0XtVfBWnnWDwZveSlsAyKx;a-te-lorenzo-jovannotti
Farfalla bianca;Ultimo;https://open.spotify.com/track/0osQl9IUWOAARZt1PfcULp;farfalla-bianca-ultimo
Dance me to the End of Love - Live in London;Leonard Cohen;https://open.spotify.com/track/1WzrIB8ev1KiOtXITd8Rxq?si=4212ad571dce41d4;dance-me-to-the-end-of-love-live-in-london-leonard-cohen
J'te l'dis quand même;Patrick Bruel;https://open.spotify.com/track/2OWMGvSsOw55gluYUQpn3P?si=261d80f4f5644ea0;j-te-l-dis-quand-meme-patrick-bruel
Dune Mosse;Zucchero, Miles Davis;https://open.spotify.com/track/7CfOR8N2E4v4K62PKipP0I;dune-mosse-zucchero-miles-davis
Hurricane;Bob Dylan;https://open.spotify.com/track/1lqMLr9Wj7SM2F9AikGcxN;hurricane-bob-dylan
Sogni Appesi;Ultimo;https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ;sogni-appesi-ultimo
Top 10 Single Charts | Italy | 16.09.2018 | ChartExpress;;https://youtu.be/tBRdhfk25XY?si=Ttxy09DKJqnk0zmV;top-10-single-charts-italy-16-09-2018-chartexpress
Where the Heart is;Haevn;https://open.spotify.com/track/6LnrQluSbs9SybsWQLWQe5;where-the-heart-is-haevn
Father is that enough;Gotthard;https://open.spotify.com/track/4fgZJjO2ZGrhaSfCXvQQAd;father-is-that-enough-gotthard
Zusammen;Die Fantastischen Vier;https://open.spotify.com/track/7mckfRql6fSmEb2TfhhYdc;zusammen-die-fantastischen-vier
Le Vent Nous Portera (Noir Désir);Cover ECCO;https://www.youtube.com/watch?v=D9HCnwTLIjY;le-vent-nous-portera-noir-desir-cover-ecco
Castle on the Hill;Ed Sheeran;https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT;castle-on-the-hill-ed-sheeran
Nera;Irama;https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX;nera-irama
Asturias (Leyenda);Isaac Albéniz, Simon Dinnigan;https://open.spotify.com/track/4wYpjral4wvOld6talKDM4;asturias-leyenda-isaac-albeniz-simon-dinnigan
